route,category,action,notes
/account,COMMAND_CENTRE,301 → /command-centre/account,Account settings
/account/2fa-setup,COMMAND_CENTRE,301 → /command-centre/account/2fa-setup,Preserve sub-route
/account/faq,COMMAND_CENTRE,301 → /command-centre/account/faq,Preserve sub-route
/achievements,COMMAND_CENTRE,301 → /command-centre/achievements,Achievements
/activate-grid,INCOME,301 → /income/grid/activate,Grid activation
/admin,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/activate-owner,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/adjust-balance,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/backups,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/cache-stats,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/commission-flows,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/commissions,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/email-analytics,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/finances,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/health,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/kyc-document/{filename},ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/kyc-pending,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/moderation-queue,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/network-tree,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/showcase,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/stories,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/superscene-analytics,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/user/{user_id},ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/users,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/withdrawals,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/api/withdrawals/stuck,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/commission-flows,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/db-check,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/debug-dashboard,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/debug-transfers,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/fix-owner,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/fix-upline-earnings,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/force-migrate,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/force-wipe,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/grid-audit,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/hot-wallet-balance,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/process-pending-withdrawals,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/recalculate-stats,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/reset-account,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/reset-test-data,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/run-migrations,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/seed-owner-campaigns,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/superscene/grant/{amount},ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-autoresponder,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-course-passup-cleanup,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-course-passup-e2e,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-course-passup-seed,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-dashboard,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-email,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-grid-cleanup,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-grid-e2e,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-grid-fill,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-grid-reset,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/test-register,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/watchdog,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/watchdog/health,ADMIN,no change,"Admin endpoint, secret-param protected"
/admin/watchdog/status,ADMIN,no change,"Admin endpoint, secret-param protected"
/affiliate,COMMAND_CENTRE,301 → /command-centre/team,Consolidate into team
/affiliates,PUBLIC,no change,Public marketing page
